%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2024 248 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 92.00 20.50 101.24 1.70 156.00 -999.00 375.00 -999.00 -999.00 -999.00 -999.00 60.00 346.00 285.00
2024 248 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 88.00 21.80 101.24 1.00 263.00 -999.00 378.00 -999.00 -999.00 -999.00 -999.00 122.00 338.00 325.00
2024 248 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.40000 82.00 23.10 101.24 0.10 275.00 -999.00 388.00 -999.00 -999.00 -999.00 -999.00 134.00 264.00 6.00
2024 248 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 75.00 24.70 101.22 0.30 434.00 -999.00 392.00 -999.00 -999.00 -999.00 -999.00 186.00 399.00 356.00
2024 248 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.60000 73.00 25.50 101.21 0.90 507.00 -999.00 391.00 -999.00 -999.00 -999.00 -999.00 154.00 524.00 28.00
2024 248 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.10000 70.00 26.00 101.17 0.20 490.00 -999.00 399.00 -999.00 -999.00 -999.00 -999.00 168.00 469.00 44.00
2024 248 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.20000 65.00 26.90 101.13 0.00 508.00 -999.00 396.00 -999.00 -999.00 -999.00 -999.00 123.00 585.00 52.00
2024 248 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 62.00 27.80 101.08 0.10 481.00 -999.00 397.00 -999.00 -999.00 -999.00 -999.00 149.00 560.00 58.00
2024 248 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 64.00 27.50 101.08 0.20 333.00 -999.00 405.00 -999.00 -999.00 -999.00 -999.00 158.00 355.00 63.00
2024 248 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 70.00 26.20 101.10 0.50 179.00 -999.00 411.00 -999.00 -999.00 -999.00 -999.00 110.00 188.00 301.00
2024 248 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 79.00 24.20 101.04 0.30 53.00 -999.00 402.00 -999.00 -999.00 -999.00 -999.00 48.00 23.00 320.00
2024 248 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 87.00 22.50 101.06 0.10 11.00 -999.00 403.00 -999.00 -999.00 -999.00 -999.00 10.00 15.00 304.00
2024 248 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 89.00 21.50 101.15 0.80 0.00 -999.00 392.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 282.00
2024 248 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 92.00 20.70 101.17 0.20 0.00 -999.00 389.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 286.00
2024 248 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.90000 92.00 20.00 101.17 0.00 0.00 -999.00 382.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 311.00
2024 248 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 100.00 18.70 101.21 0.00 0.00 -999.00 369.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 348.00
2024 249 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.20000 99.00 18.50 101.25 0.00 0.00 -999.00 370.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 18.00
2024 249 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.00000 96.00 18.10 101.20 0.00 0.00 -999.00 358.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 38.00
2024 249 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.20000 86.00 18.80 101.17 0.00 0.00 -999.00 355.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 51.00
2024 249 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 81.00 18.60 101.17 0.00 0.00 -999.00 352.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 64.00
2024 249 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.70000 79.00 18.10 101.17 0.00 0.00 -999.00 352.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 70.00
2024 249 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.90000 79.00 17.90 101.15 0.00 0.00 -999.00 344.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 75.00
2024 249 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.10000 80.00 17.90 101.15 0.00 3.00 -999.00 342.00 -999.00 -999.00 -999.00 -999.00 3.00 0.00 78.00
2024 249 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.40000 78.00 19.00 101.19 0.00 69.00 -999.00 341.00 -999.00 -999.00 -999.00 -999.00 36.00 272.00 77.00
